intials,b,betas,time,LLF,converged
[0.01853711 0.08865953],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.0547066 0.0135663],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.0131846  0.09987271],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.02692547 0.05391948],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.03502039 0.02452049],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.05149799 0.01607365],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.07176592 0.03557753],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.01656271 0.01477112],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.01117567 0.05010942],0.011175671,[0.05010942],0.015625,-28.055678,FALSE
[0.08683207 0.01178444],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.02635102 0.0700441 ],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.06017377 0.02178415],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.01926122 0.04585695],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.02092266 0.08810083],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.01054457 0.08079038],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.05480444 0.09684151],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.06495004 0.00233436],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.05630668 0.0826435 ],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.02273278 0.09194133],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.06963304 0.0746296 ],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.05727939 0.06052198],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.02392756 0.01476399],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.06100519 0.01391121],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.07873489 0.04383043],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.04763816 0.095707  ],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.03551791 0.00381066],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.01242293 0.05432135],0.012422929,[0.05432135],0,-27.91864466,FALSE
[0.07974773 0.09881345],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.01128931 0.04884072],0.011289314,[0.04884072],0.015625,-28.0386332,FALSE
[0.07813187 0.04558265],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.0002534  0.07686395],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.02481178 0.04587992],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.02162374 0.0881122 ],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.06460022 0.07792283],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.09167894 0.07822623],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.07288864 0.09991744],0.07288864,[0.09991744],0.015625,-29.84464093,FALSE
[0.03857661 0.01084103],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.04954188 0.05126074],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.00553597 0.0843921 ],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.07551597 0.00251144],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.09028456 0.04635747],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.0201786  0.06265756],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.02299424 0.08706784],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.01449972 0.04415126],0.014499721,[0.04415126],0.015625,-27.69605831,FALSE
[0.05162723 0.01376343],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.03273334 0.08323828],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.06187846 0.09095798],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.0590485  0.00940136],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.08421612 0.06935042],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.08628161 0.04354665],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.05078636 0.02229475],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.04664599 0.08822408],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.09485759 0.02611503],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.07436558 0.00127995],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.02015542 0.00890516],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.0900076  0.03014509],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.09234302 0.06254694],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.00161764 0.08213662],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.09359344 0.08251354],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.06025527 0.02196552],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.01914438 0.02705916],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.03089005 0.03983529],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.02719387 0.06792347],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.00171415 0.01736747],0.001714153,[0.01736747],0.015625,-30.51752422,FALSE
[0.0107548  0.08417839],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.08705085 0.02285791],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.09965282 0.04501382],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.08464741 0.05235874],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.06587911 0.02004816],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.00520703 0.07643769],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.04791446 0.05535918],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.07794234 0.07638198],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.09267602 0.01666382],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.02041203 0.07946428],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.013241   0.02600319],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.03010285 0.01756769],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.05914158 0.05313494],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.09488492 0.07687109],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
[0.00209036 0.03287833],0.002090356,[0.03287833],0.015625,-29.45874323,FALSE
[0.02657393 0.06020249],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.05528538 0.01812835],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.08408917 0.06488457],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.08335281 0.0784795 ],0.072939248,[0.05893731],0,-23.29089438,TRUE
[0.00159742 0.09633508],0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
