intials,b,betas,time,LLF,converged
[0.03177667 0.07272772 0.06992174],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.05514549 0.08681528 0.05635944],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.08632631 0.07271816 0.02340901],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.05794016 0.01125342 0.09197582],0.05794016,[0.01125342 0.09197582],0.03125,-27.9341514,FALSE
[0.00598106 0.02619349 0.01254387],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.08715057 0.01228305 0.00588619],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.01631084 0.08378794 0.06462535],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.04783896 0.08354999 0.02252643],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.01153849 0.05563845 0.00856101],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.02831904 0.02476854 0.00075405],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.01876769 0.01589194 0.01495159],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.05209692 0.03586425 0.02372173],0.052096923,[0.03586425 0.02372173],0.015625,-29.32279357,FALSE
[0.04426254 0.09113602 0.07393352],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.05631019 0.06563513 0.00670162],0.056310189,[0.06563513 0.00670162],0.03125,-29.24246055,FALSE
[0.07726064 0.09417505 0.01503969],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.08821824 0.05832707 0.01908535],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.03532945 0.07653691 0.04291791],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.0536015  0.06077359 0.07045089],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.09825375 0.08935224 0.05579215],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
