intials,b,betas,time,LLF,converged
[0.00266024 0.05967376 0.07914146 0.02037607],0.069363787,[-0.03643947  0.04664847  0.13732605],0.0625,-23.00672947,TRUE
[0.08362069 0.04213285 0.08477583 0.02542481],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.05067518 0.02200201 0.01255826 0.08005035],0.069363787,[-0.03643947  0.04664847  0.13732605],0.0625,-23.00672947,TRUE
[0.03742773 0.01319535 0.01803972 0.0215762 ],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.02576295 0.00928634 0.01758302 0.02439714],0.069363787,[-0.03643947  0.04664847  0.13732605],0.0625,-23.00672947,TRUE
[0.07097223 0.0115942  0.01178919 0.02306842],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.08177384 0.06494393 0.01036524 0.07149315],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.07706925 0.00722789 0.05503514 0.02126905],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.03429366 0.05597351 0.03099645 0.03110602],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.06451669 0.05472533 0.09545273 0.07069854],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.05592058 0.02656348 0.03155857 0.01480448],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.04032195 0.0446081  0.06786503 0.04011615],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.04883617 0.08913646 0.07116911 0.0306953 ],0.069363787,[-0.03643947  0.04664847  0.13732605],0.03125,-23.00672947,TRUE
[0.0350968  0.04008697 0.01515035 0.07375456],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.07739721 0.00473351 0.05749341 0.04521307],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.04851654 0.01690292 0.06874461 0.00294671],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.02753667 0.08549456 0.0471134  0.01712733],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.04078021 0.09277836 0.09861605 0.0508957 ],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.03482602 0.07821874 0.06462787 0.03541199],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.01948566 0.04512147 0.00713196 0.09380819],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.01431399 0.01277929 0.02415677 0.08944556],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.09433171 0.03509792 0.04184119 0.045552  ],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.01261332 0.03899228 0.09917757 0.03362075],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.04063491 0.09555341 0.08116351 0.07432708],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.01750855 0.09386444 0.09579735 0.02598472],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.08599176 0.02183675 0.07745926 0.07012169],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.09049006 0.08286009 0.08986919 0.06243959],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.00907581 0.0805476  0.02515675 0.0310807 ],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.07959842 0.08966519 0.02479702 0.00315613],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.07698445 0.01196973 0.02142448 0.09895223],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.0530752  0.08372823 0.08975731 0.01230812],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.09440075 0.02656155 0.03210285 0.01364878],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
