data set,model,covariates,b estimate,beta estimate,b,beta,time,LLF,converged
DS1,GM,E,0.03229612780486213,[0.551472],0.059768100970081436,[0.28368348],0.0278125,-36.1263529012823,YES
DS1,GM,F,7.051506445421296e-08,[0.5],1.0192990692936361e-07,[0.05608959],0.029375,-32.86013628307788,NO
DS1,GM,C,0.01826777846532801,[0.51825418],0.0522389256722885,[0.2753168],0.0203125,-35.5427723065842,YES
DS2,GM,E,0.028049769289064663,[1.01359104],0.09361682929043147,[0.49856936],0.0203125,-24.931835879496525,YES
DS2,GM,F,8.118544544410966e-07,[0.5],8.45772770648316e-06,[0.02791668],0.0196875,-29.905458139136833,NO
DS2,GM,C,0.028017617285768903,[0.6760225],0.07712131602456986,[0.35000826],0.0146875,-24.325161624170242,YES
