data set,model,covariates,b estimate,beta estimate,b,beta,time,LLF,converged
DS1,GM,E,0.19061204652054153,[-0.68023387],0.19061204652054153,[-0.68023387],0.025,-106.1992121643504,NO
DS1,GM,F,0.011740163183803665,[0.10517129],0.01475114528353816,[0.05895853],0.028125,-31.213460595474885,YES
DS1,GM,C,0.20998194135124504,[-0.40677992],0.20998194135124504,[-0.40677992],0.019375,-94.20824809693914,NO
DS2,GM,E,0.232219862393803,[-0.9020078],0.232219862393803,[-0.9020078],0.0159375,-59.48278050367099,NO
DS2,GM,F,0.2641938532993072,[-0.14895284],0.2641938532993072,[-0.14895284],0.0165625,-78.8629499570826,NO
DS2,GM,C,0.29639628752245295,[-0.74841332],0.29639628752245295,[-0.74841332],0.0128125,-67.13992838263411,NO
