data set,model,covariates,b estimate,beta estimate,b,beta,time,LLF,converged
DS1,GM,E,0.115218351,[0.01],0.059768101,[0.28368348],0.0284375,-36.1263529,YES
DS1,GM,F,0.011740163,[0.10517129],0.014751145,[0.05895853],0.0353125,-31.2134606,YES
DS1,GM,C,0.114234785,[0.01],0.052238926,[0.2753168],0.024375,-35.54277231,YES
DS2,GM,E,0.139969496,[0.01],0.093616829,[0.49856936],0.0190625,-24.93183588,YES
DS2,GM,F,0.130886311,[0.01],0.072939248,[0.05893731],0.018125,-23.29089438,YES
DS2,GM,C,0.139101626,[0.01],0.077121316,[0.35000826],0.015,-24.32516162,YES
